FieldID	BorrowerPair	InstanceIndex	FieldSize	IncludeInAuditTrail	UseIndexForThisField	Description
232	1		10	FALSE	FALSE	EXPENSES PROPOSED MTG INS
235	1			FALSE	FALSE	FEES FLOOD INS PER MO
299	1		32	FALSE	FALSE	LOAN INFO REFI PURPOSE
300	1		20	TRUE	FALSE	CREDIT RPT REF #
305	1		16	FALSE	FALSE	LENDER CASE #
313	1		22	FALSE	FALSE	BROKER LENDER CITY
315	1		26	FALSE	FALSE	BROKER LENDER NAME
317	1		32	TRUE	FALSE	LOAN OFFICER NAME
319	1		22	FALSE	FALSE	BROKER LENDER ADDR
321	1		2	FALSE	FALSE	BROKER LENDER STATE
323	1		10	FALSE	FALSE	BROKER LENDER ZIP
324	1		12	FALSE	FALSE	BROKER LENDER PHONE
325	1			TRUE	FALSE	TERM DUE IN
334	1			FALSE	FALSE	FEES INTEREST BORR
352	1		18	FALSE	FALSE	INVESTOR CASE/LOAN #
353	1			TRUE	FALSE	LOAN TO VALUE (LTV)
356	1			TRUE	FALSE	SUBJECT PROPERTY APPRAISED VALUE
358	1			TRUE	FALSE	SUBJECT PROPERTY VALUE FOR LTV
362	1		32	FALSE	FALSE	LOAN PROCESSOR NAME
363	1			FALSE	FALSE	DATE PREPARED
364	1		22	TRUE	FALSE	LOAN #
367	1			FALSE	FALSE	FEES LINE 801 UNDERWRITING FEES
384	1		20	TRUE	FALSE	LOAN PURPOSE
388	1			FALSE	FALSE	ORIG PTS
395	1		16	FALSE	FALSE	DOC PREP CO NAME
411	1		22	FALSE	FALSE	TITLE CO NAME
416	1		22	FALSE	FALSE	TITLE CO CONTACT
417	1		16	FALSE	FALSE	TITLE CO PHONE
420	1		10	TRUE	FALSE	LIEN POSITION
428	1			FALSE	FALSE	SUB FIN SECOND MTG LOAN AMT
432	1			TRUE	FALSE	RATE LOCK # DAYS
439	1			FALSE	FALSE	FEES MTG BROKER FEE BORR
454	1			FALSE	FALSE	FEES LOAN ORIGINATION FEE BORR
559	1			FALSE	FALSE	FEES LOAN ORIGINATION FEE SELLER
569	1			FALSE	FALSE	FEES UNDERWRITING FEE SELLER
572	1			FALSE	FALSE	FEES MTG BROKER FEE SELLER
608	1		6	FALSE	FALSE	AMORT TYPE
610	1		22	FALSE	FALSE	ESCROW CO NAME
611	1		22	FALSE	FALSE	ESCROW CO CONTACT
615	1		16	FALSE	FALSE	ESCROW CO PHONE
617	1		22	FALSE	FALSE	APPRAISAL CO NAME
618	1		22	FALSE	FALSE	APPRAISAL CO CONTACT
622	1		16	FALSE	FALSE	APPRAISAL CO PHONE
624	1		16	FALSE	FALSE	CRED RPT AGENCY NAME
625	1		16	FALSE	FALSE	CRED RPT AGENCY CONTACT NAME
629	1		16	FALSE	FALSE	CRED RPT AGENCY PHONE
675	1		1	FALSE	FALSE	PREPYMT - MAY/WILL NOT PENALTY
682	1			FALSE	FALSE	FIRST PYMT DATE
688	1			TRUE	FALSE	LOAN INFO ARM INDEX
689	1			TRUE	FALSE	LOAN INFO ARM MARGIN
707	1		16	FALSE	FALSE	MTG INS CO CONTACT NAME
711	1		16	FALSE	FALSE	MTG INS CO PHONE
713	1		16	FALSE	FALSE	BUILDER CO NAME
714	1		16	FALSE	FALSE	BUILDER CONTACT NAME
718	1		16	FALSE	FALSE	BUILDER PHONE
740	1			TRUE	FALSE	QUAL RATIO TOP
742	1			TRUE	FALSE	QUAL RATIO BOTTOM
745	1			TRUE	FALSE	APPLICATION DATE
748	1			TRUE	FALSE	CLOSING DATE
749	1			TRUE	FALSE	CURRENT STATUS DATE
761	1			TRUE	FALSE	LOCK DATE
762	1			TRUE	FALSE	RATE LOCK EXPIRES
763	1			TRUE	FALSE	EST CLOSING DATE
799	1			FALSE	FALSE	APR
934	1		1	TRUE	FALSE	BORR FIRST TIME HOMEBUYER
984	1		16	FALSE	FALSE	UNDERWRITER CONTACT
1040	1		16	TRUE	FALSE	AGENCY CASE #
1041	1		28	TRUE	FALSE	SUBJECT PROPERTY TYPE FANNIE MAE
1051	1		16	TRUE	FALSE	MERS MIN #
1059	1		12	FALSE	FALSE	FHA LENDER ID
1061	1			FALSE	FALSE	FEES LOAN DISCOUNT FEE %
1093	1			FALSE	FALSE	FEES LOAN DISCOUNT FEE BORR
1109	1			TRUE	FALSE	LOAN AMT
1172	1		12	TRUE	FALSE	LOAN TYPE
1177	1			FALSE	FALSE	INTEREST ONLY MOS
1191	1			FALSE	FALSE	BORR INFO POINTS PAID
1192	1			FALSE	FALSE	BORR INFO REFUND OF OVERPAID INTEREST
1193	1		64	FALSE	FALSE	BORR INFO OTHER DESCR 1
1194	1		64	FALSE	FALSE	BORR INFO OTHER DESCR 2
1195	1		64	FALSE	FALSE	BORR INFO OTHER DESCR 3
1196	1		64	FALSE	FALSE	LENDER INFO TAX ID
1240	1		20	FALSE	FALSE	BORR EMAIL
1264	1		16	TRUE	FALSE	LENDER CO NAME
1347	1			TRUE	FALSE	LOAN TERM
1393	1		52	TRUE	FALSE	CURRENT LOAN STATUS
1401	1		14	FALSE	FALSE	LOAN PROGRAM
1402	1			TRUE	FALSE	BORR DOB
1403	1			TRUE	FALSE	CO-BORR DOB
1410	1		16	FALSE	FALSE	UNDERWRITER PHONE
1414	1		10	TRUE	FALSE	BORR EQUIFAX BEACON
1415	1		10	TRUE	FALSE	CO-BORR EQUIFAX BEACON
1416	1		22	FALSE	FALSE	BORROWER MAILING ADDR
1417	1		22	FALSE	FALSE	BORROWER MAILING CITY
1418	1		2	FALSE	FALSE	BORROWER MAILING STATE
1419	1		10	FALSE	FALSE	BORROWER MAILING ZIP
1450	1		10	TRUE	FALSE	BORR TRANSUNION EMPIRICA
1452	1		10	TRUE	FALSE	CO-BORR TRANSUNION EMPIRICA
1484	1		10	FALSE	FALSE	BORR MINIMUM FICO
1500	1		16	FALSE	FALSE	FLOOD INS CO NAME
1502	1		10	FALSE	FALSE	CO-BORR MIN FICO
1612	1		16	FALSE	FALSE	INTERVIEWER NAME
1621	1			FALSE	FALSE	FEES PROCESS FEE BORR
1622	1			FALSE	FALSE	FEES PROCESS FEE SELLER
1625	1			FALSE	FALSE	FEES LINE 801 USER DEFINED FEE 2 - BORR AMT
1626	1			FALSE	FALSE	HUD LINE 801H SELLER AMOUNT
1663	1		10	FALSE	FALSE	FEES COMPENSATION TO BROKER 1
1732	1			FALSE	FALSE	SUB FIN ADDITIONAL MTGS
1766	1			FALSE	FALSE	INSURANCE MTG INS PYMT 1
1771	1			FALSE	FALSE	DOWN PMT %
1785	1		14	FALSE	FALSE	CLOSING COST PROGRAM
1811	1		16	TRUE	FALSE	SUBJECT PROPERTY OCCUPANCY STATUS
1821	1			TRUE	FALSE	SUBJECT PROPERTY EST VALUE
1822	1		24	FALSE	FALSE	REFERRAL NAME
1839	1			FALSE	FALSE	LINE 801 - USER DEFINED FEE 3 - BORR AMT
1840	1			FALSE	FALSE	HUD LINE 801I SELLER AMOUNT
1842	1			FALSE	FALSE	LINE 801 - USER DEFINED FEE 4 - BORR AMT
1843	1			FALSE	FALSE	HUD LINE 801J SELLER AMOUNT
1847	1		4	FALSE	FALSE	ORIG CREDIT
1855	1		32	FALSE	FALSE	CLOSER NAME
1881	1		14	FALSE	FALSE	REGZ LOAN INFO PLAN CODE
1989	1			FALSE	FALSE	TOTAL DEDUCTIONS
1990	1			FALSE	FALSE	TOTAL WIRE TRANSFER
1997	1			FALSE	FALSE	Funding Funds Sent Date
2005	1			FALSE	FALSE	OVERWIRE AMOUNT
2014	1			FALSE	FALSE	Shipping Actual Shipping Date
2030	1		64	FALSE	FALSE	Rate Lock Sell Side Requested By
2216	1		1	TRUE	FALSE	PREPAY PENALTY
2219	1		64	FALSE	FALSE	Rate Lock Sell Side Rate Sheet ID
2220	1			FALSE	FALSE	Rate Lock Sell Side Lock Date
2221	1			FALSE	FALSE	Rate Lock Sell Side Number of Days
2222	1			FALSE	FALSE	Rate Lock Sell Side Lock Expires Date
2223	1			FALSE	FALSE	Rate Lock Sell Side Base Rate
2227	1			FALSE	FALSE	Rate Lock Sell Side Base Rate Adjust 2 Rate
2230	1			FALSE	FALSE	Rate Lock Sell Side Base Rate Tot Adjustment
2231	1			FALSE	FALSE	Rate Lock Sell Side Net Buy Rate
2232	1			FALSE	FALSE	Rate Lock Sell Side Base Price Rate
2273	1			FALSE	FALSE	Rate Lock Sell Side Base Price Total Adjust
2274	1			FALSE	FALSE	Rate Lock Sell Side Net Sell Price
2276	1			FALSE	FALSE	Rate Lock Sell Side SRP Paid Out
2278	1		64	FALSE	FALSE	Rate Lock Sell Investor Name
2293	1		64	TRUE	FALSE	IMPOUNDS WAIVED
2294	1		64	TRUE	FALSE	IMPOUND TYPES
2295	1			FALSE	FALSE	Rate Lock Sell Side Total Sell Price
2370	1			TRUE	FALSE	PURCHASE ADVICE DATE
2626	1		64	TRUE	FALSE	LOAN INFO CHANNEL
2627	1		16	FALSE	FALSE	Purchase Advice Amt Due to Lender/Investor
2631	1			FALSE	FALSE	Purchase Advice Amt Due To
2817	1			FALSE	FALSE	Rate Lock Sell Side Base Rate Total Adjustment
2818	1			FALSE	FALSE	Rate Lock Sell Side Net Buy Rate
2840	1		64	FALSE	FALSE	Purchase Adv Reconciliation Comments
2849	1		10	TRUE	FALSE	BORR ACTUAL FICO SCORE
2850	1		10	TRUE	FALSE	CO-BORR ACTUAL FICO SCORE
3142	1			TRUE	FALSE	GFE APPLICATION DATE
3238	1		64	FALSE	FALSE	NMLS LOAN ORIGINATOR ID
3310	1			FALSE	FALSE	TOTAL BROKER FEES COLLECTED
3311	1			FALSE	FALSE	TOTAL LENDER FEES COLLECTED
3312	1			FALSE	FALSE	REPURCHASE DATE
3331	1		64	FALSE	FALSE	CONFORMING LOAN INDICATOR
3332	1		64	FALSE	FALSE	LENDER CHANNEL
3335	1		64	FALSE	FALSE	OCCUPANCY TYPE
3336	1		1	FALSE	FALSE	PRIVATE MORTGAGE INSURANCE INDICATOR
3337	1			FALSE	FALSE	DATE SOLD TO THIRD PARTY
3338	1		1	FALSE	FALSE	SERVICING RELEASE INDICATOR
3341	1			FALSE	FALSE	DATE WAREHOUSED
4000	1		40	TRUE	FALSE	BORROWER FIRST NAME
4001	1		40	FALSE	FALSE	BORROWER MIDDLE NAME
4002	1		40	TRUE	FALSE	BORROWER LAST NAME
4003	1		40	FALSE	FALSE	BORROWER SUFFIX NAME
4004	1		40	TRUE	FALSE	CO-BORROWER FIRST NAME
4005	1		40	FALSE	FALSE	CO-BORROWER MIDDLE NAME
4006	1		40	TRUE	FALSE	CO-BORROWER LAST NAME
4007	1		40	FALSE	FALSE	CO-BORROWER SUFFIX NAME
CASASRN.X144	1		2	FALSE	FALSE	FREDDIE MAC LENDER REQUIREDD DOC TYPE
COND.DESCS	1		4096	FALSE	FALSE	ALL CONDITIONS FROM DOC TRACKING (H)
COND.OPEN.DESCS	1		4096	FALSE	FALSE	ALL OPENED CONDITIONS/DOC TRACKING (H)
COND.OPEN.PTD	1		4096	FALSE	FALSE	ALL OPND DOCS/FILE START (NOT INC)-DOCS SIGNED
COND.OPEN.PTF	1		4096	FALSE	FALSE	ALL OPND DOCS/DOCS SIGNED (NOT INC)-FUNDING
COND.OPEN.TITLES	1		4096	FALSE	FALSE	ALL OPENED DOC TRACKING TITLE NAMES (H)
COND.PTD	1		4096	FALSE	FALSE	ALL DOCS/FILE START (NOT INC)-DOCS SIGNED
COND.PTF	1		4096	FALSE	FALSE	ALL DOCS/DOCS SIGNED (NOT INC)-FUNDING (H)
COND.TITLES	1		4096	FALSE	FALSE	ALL DOC TRACKING TITLE NAMES (H)
CoreMilestone	1		64	FALSE	FALSE	CURRENT CORE MILESTONE
CurrentTeamMember	1		64	FALSE	FALSE	CURRENT LOAN TEAM MEMBER
DENIAL.X69	1			FALSE	FALSE	DENIAL DATE
Document.Comments	1	APPRAISAL	64	FALSE	FALSE	DOCUMENT COMMENTS - APPRAISAL
Document.Comments	1	AVM	64	FALSE	FALSE	DOCUMENT COMMENTS - AVM
Document.Comments	1	CREDIT REPORT	64	FALSE	FALSE	DOCUMENT COMMENTS - CREDIT REPORT
Document.Comments	1	DOCUMENT PREPARATION	64	FALSE	FALSE	DOCUMENT COMMENTS - DOCUMENT PREPARATION
Document.Comments	1	FLOOD CERTIFICATE	64	FALSE	FALSE	DOCUMENT COMMENTS - FLOOD CERTIFICATE
Document.Comments	1	LENDER SUBMISSION	64	FALSE	FALSE	DOCUMENT COMMENTS - LENDER SUBMISSION
Document.Comments	1	MORTGAGE INSURANCE	64	FALSE	FALSE	DOCUMENT COMMENTS - MORTGAGE INSURANCE
Document.Comments	1	TITLE REPORT	64	FALSE	FALSE	DOCUMENT COMMENTS - TITLE REPORT
Document.Comments	1	UNDERWRITING	64	FALSE	FALSE	DOCUMENT COMMENTS - UNDERWRITING
Document.Company	1	APPRAISAL	64	FALSE	FALSE	DOCUMENT COMPANY - APPRAISAL
Document.Company	1	AVM	64	FALSE	FALSE	DOCUMENT COMPANY - AVM
Document.Company	1	CREDIT REPORT	64	FALSE	FALSE	DOCUMENT COMPANY - CREDIT REPORT
Document.Company	1	DOCUMENT PREPARATION	64	FALSE	FALSE	DOCUMENT COMPANY - DOCUMENT PREPARATION
Document.Company	1	FLOOD CERTIFICATE	64	FALSE	FALSE	DOCUMENT COMPANY - FLOOD CERTIFICATE
Document.Company	1	LENDER SUBMISSION	64	FALSE	FALSE	DOCUMENT COMPANY - LENDER SUBMISSION
Document.Company	1	MORTGAGE INSURANCE	64	FALSE	FALSE	DOCUMENT COMPANY - MORTGAGE INSURANCE
Document.Company	1	TITLE REPORT	64	FALSE	FALSE	DOCUMENT COMPANY - TITLE REPORT
Document.Company	1	UNDERWRITING	64	FALSE	FALSE	DOCUMENT COMPANY - UNDERWRITING
Document.DateOrdered	1	APPRAISAL		FALSE	FALSE	DOCUMENT DATE ORDERED - APPRAISAL
Document.DateOrdered	1	AVM		FALSE	FALSE	DOCUMENT DATE ORDERED - AVM
Document.DateOrdered	1	CREDIT REPORT		FALSE	FALSE	DOCUMENT DATE ORDERED - CREDIT REPORT
Document.DateOrdered	1	DOCUMENT PREPARATION		FALSE	FALSE	DOCUMENT DATE ORDERED - DOCUMENT PREPARATION
Document.DateOrdered	1	FLOOD CERTIFICATE		FALSE	FALSE	DOCUMENT DATE ORDERED - FLOOD CERTIFICATE
Document.DateOrdered	1	LENDER SUBMISSION		FALSE	FALSE	DOCUMENT DATE ORDERED - LENDER SUBMISSION
Document.DateOrdered	1	MORTGAGE INSURANCE		FALSE	FALSE	DOCUMENT DATE ORDERED - MORTGAGE INSURANCE
Document.DateOrdered	1	TITLE REPORT		FALSE	FALSE	DOCUMENT DATE ORDERED - TITLE REPORT
Document.DateOrdered	1	UNDERWRITING		FALSE	FALSE	DOCUMENT DATE ORDERED - UNDERWRITING
Document.DateReceived	1	APPRAISAL		FALSE	FALSE	DOCUMENT DATE RECEIVED - APPRAISAL
Document.DateReceived	1	AVM		FALSE	FALSE	DOCUMENT DATE RECEIVED - AVM
Document.DateReceived	1	CREDIT REPORT		FALSE	FALSE	DOCUMENT DATE RECEIVED - CREDIT REPORT
Document.DateReceived	1	DOCUMENT PREPARATION		FALSE	FALSE	DOCUMENT DATE RECEIVED - DOCUMENT PREPARATION
Document.DateReceived	1	FLOOD CERTIFICATE		FALSE	FALSE	DOCUMENT DATE RECEIVED - FLOOD CERTIFICATE
Document.DateReceived	1	LENDER SUBMISSION		FALSE	FALSE	DOCUMENT DATE RECEIVED - LENDER SUBMISSION
Document.DateReceived	1	MORTGAGE INSURANCE		FALSE	FALSE	DOCUMENT DATE RECEIVED - MORTGAGE INSURANCE
Document.DateReceived	1	TITLE REPORT		FALSE	FALSE	DOCUMENT DATE RECEIVED - TITLE REPORT
Document.DateReceived	1	UNDERWRITING		FALSE	FALSE	DOCUMENT DATE RECEIVED - UNDERWRITING
Document.DateReordered	1	APPRAISAL		FALSE	FALSE	DOCUMENT DATE REORDERED - APPRAISAL
Document.DateReordered	1	AVM		FALSE	FALSE	DOCUMENT DATE REORDERED - AVM
Document.DateReordered	1	CREDIT REPORT		FALSE	FALSE	DOCUMENT DATE REORDERED - CREDIT REPORT
Document.DateReordered	1	DOCUMENT PREPARATION		FALSE	FALSE	DOCUMENT DATE REORDERED - DOCUMENT PREPARATION
Document.DateReordered	1	FLOOD CERTIFICATE		FALSE	FALSE	DOCUMENT DATE REORDERED - FLOOD CERTIFICATE
Document.DateReordered	1	LENDER SUBMISSION		FALSE	FALSE	DOCUMENT DATE REORDERED - LENDER SUBMISSION
Document.DateReordered	1	MORTGAGE INSURANCE		FALSE	FALSE	DOCUMENT DATE REORDERED - MORTGAGE INSURANCE
Document.DateReordered	1	TITLE REPORT		FALSE	FALSE	DOCUMENT DATE REORDERED - TITLE REPORT
Document.DateReordered	1	UNDERWRITING		FALSE	FALSE	DOCUMENT DATE REORDERED - UNDERWRITING
Document.ExpectedDate	1	APPRAISAL		FALSE	FALSE	DOCUMENT EXPECTED DATE - APPRAISAL
Document.ExpectedDate	1	AVM		FALSE	FALSE	DOCUMENT EXPECTED DATE - AVM
Document.ExpectedDate	1	CREDIT REPORT		FALSE	FALSE	DOCUMENT EXPECTED DATE - CREDIT REPORT
Document.ExpectedDate	1	DOCUMENT PREPARATION		FALSE	FALSE	DOCUMENT EXPECTED DATE - DOCUMENT PREPARATION
Document.ExpectedDate	1	FLOOD CERTIFICATE		FALSE	FALSE	DOCUMENT EXPECTED DATE - FLOOD CERTIFICATE
Document.ExpectedDate	1	LENDER SUBMISSION		FALSE	FALSE	DOCUMENT EXPECTED DATE - LENDER SUBMISSION
Document.ExpectedDate	1	MORTGAGE INSURANCE		FALSE	FALSE	DOCUMENT EXPECTED DATE - MORTGAGE INSURANCE
Document.ExpectedDate	1	TITLE REPORT		FALSE	FALSE	DOCUMENT EXPECTED DATE - TITLE REPORT
Document.ExpectedDate	1	UNDERWRITING		FALSE	FALSE	DOCUMENT EXPECTED DATE - UNDERWRITING
Document.ExpirationDate	1	APPRAISAL		FALSE	FALSE	DOCUMENT EXPIRATION DATE - APPRAISAL
Document.ExpirationDate	1	AVM		FALSE	FALSE	DOCUMENT EXPIRATION DATE - AVM
Document.ExpirationDate	1	CREDIT REPORT		FALSE	FALSE	DOCUMENT EXPIRATION DATE - CREDIT REPORT
Document.ExpirationDate	1	DOCUMENT PREPARATION		FALSE	FALSE	DOCUMENT EXPIRATION DATE - DOCUMENT PREPARATION
Document.ExpirationDate	1	FLOOD CERTIFICATE		FALSE	FALSE	DOCUMENT EXPIRATION DATE - FLOOD CERTIFICATE
Document.ExpirationDate	1	LENDER SUBMISSION		FALSE	FALSE	DOCUMENT EXPIRATION DATE - LENDER SUBMISSION
Document.ExpirationDate	1	MORTGAGE INSURANCE		FALSE	FALSE	DOCUMENT EXPIRATION DATE - MORTGAGE INSURANCE
Document.ExpirationDate	1	TITLE REPORT		FALSE	FALSE	DOCUMENT EXPIRATION DATE - TITLE REPORT
Document.ExpirationDate	1	UNDERWRITING		FALSE	FALSE	DOCUMENT EXPIRATION DATE - UNDERWRITING
Document.Status	1	APPRAISAL	64	FALSE	FALSE	DOCUMENT STATUS - APPRAISAL
Document.Status	1	AVM	64	FALSE	FALSE	DOCUMENT STATUS - AVM
Document.Status	1	CREDIT REPORT	64	FALSE	FALSE	DOCUMENT STATUS - CREDIT REPORT
Document.Status	1	DOCUMENT PREPARATION	64	FALSE	FALSE	DOCUMENT STATUS - DOCUMENT PREPARATION
Document.Status	1	FLOOD CERTIFICATE	64	FALSE	FALSE	DOCUMENT STATUS - FLOOD CERTIFICATE
Document.Status	1	LENDER SUBMISSION	64	FALSE	FALSE	DOCUMENT STATUS - LENDER SUBMISSION
Document.Status	1	MORTGAGE INSURANCE	64	FALSE	FALSE	DOCUMENT STATUS - MORTGAGE INSURANCE
Document.Status	1	TITLE REPORT	64	FALSE	FALSE	DOCUMENT STATUS - TITLE REPORT
Document.Status	1	UNDERWRITING	64	FALSE	FALSE	DOCUMENT STATUS - UNDERWRITING
FE0102	1		22	FALSE	FALSE	BORR EMPLOYER
FE0117	1		16	FALSE	FALSE	BORR BUSINESS PHONE
FR0104	1		22	FALSE	FALSE	BORR PRESENT ADDR
FR0106	1		22	FALSE	FALSE	BORR PRESENT CITY
FR0107	1		2	FALSE	FALSE	BORR PRESENT STATE
FR0108	1		10	FALSE	FALSE	BORR PRESENT ZIP
FR0204	1		22	FALSE	FALSE	CO-BORR PRESENT ADDR
FR0206	1		22	FALSE	FALSE	CO-BORR PRESENT CITY
FR0207	1		2	FALSE	FALSE	CO-BORR PRESENT STATE
FR0208	1		10	FALSE	FALSE	CO-BORR PRESENT ZIP
HMDA.X11	1		20	TRUE	FALSE	SUBJECT PROPERTY TYPE
HMDA.X12	1		30	FALSE	FALSE	PREAPPROVALS
HMDA.X13	1		16	TRUE	FALSE	HOEPA STATUS
HMDA.X14	1		30	TRUE	FALSE	LIEN STATUS
HMDA.X15	1		10	TRUE	FALSE	RATE SPREAD
HMDA.X21	1		30	TRUE	FALSE	DENIAL REASON 1
HMDA.X22	1		30	TRUE	FALSE	DENIAL REASON 2
HMDA.X23	1		30	TRUE	FALSE	DENIAL REASON 3
HMDA.X24	1		1	TRUE	FALSE	SUBJECT PROPERTY EXCLUDE FROM HMDA REPORT
L228	1			FALSE	FALSE	FEES MI APPLIC FEE BORR
L229	1			FALSE	FALSE	FEES MI APPLIC FEE SELLER
L248	1		16	FALSE	FALSE	MTG INS CO NAME
L252	1		16	FALSE	FALSE	HAZARD INS CO NAME
L268	1			FALSE	FALSE	FEES CITY PROP TAX PER MO
L770	1			FALSE	FALSE	DOCUMENT DATE
LoanTeamMember.Name	1	Closer	64	FALSE	FALSE	Loan Team Member Name - Closer
LoanTeamMember.Name	1	Funder	64	FALSE	FALSE	Loan Team Member Name - Funder
LoanTeamMember.Name	1	Insurer	64	FALSE	FALSE	Loan Team Member Name - Insurer
LoanTeamMember.Name	1	Loan Officer	64	FALSE	FALSE	Loan Team Member Name - Loan Officer
LoanTeamMember.Name	1	Loan Opener	64	FALSE	FALSE	Loan Team Member Name - Loan Opener
LoanTeamMember.Name	1	Loan Processor	64	FALSE	FALSE	Loan Team Member Name - Loan Processor
LoanTeamMember.Name	1	Post Closer	64	FALSE	FALSE	Loan Team Member Name - Post Closer
LoanTeamMember.Name	1	Shipper	64	FALSE	FALSE	Loan Team Member Name - Shipper
LoanTeamMember.Name	1	Underwriter	64	FALSE	FALSE	Loan Team Member Name - Underwriter
Log.MS.Comments	1	APPROVAL	64	FALSE	FALSE	MILESTONE COMMENTS - APPROVAL
Log.MS.Comments	1	COMPLETION	64	FALSE	FALSE	MILESTONE COMMENTS - COMPLETION
Log.MS.Comments	1	DOCS SIGNING	64	FALSE	FALSE	MILESTONE COMMENTS - DOCS SIGNING
Log.MS.Comments	1	FUNDING	64	FALSE	FALSE	MILESTONE COMMENTS - FUNDING
Log.MS.Comments	1	PROCESSING	64	FALSE	FALSE	MILESTONE COMMENTS - PROCESSING
Log.MS.Comments	1	STARTED	64	FALSE	FALSE	MILESTONE COMMENTS - STARTED
Log.MS.Comments	1	SUBMITTAL	64	FALSE	FALSE	MILESTONE COMMENTS - SUBMITTAL
Log.MS.Duration	1	APPROVAL		FALSE	FALSE	MILESTONE DURATION - APPROVAL
Log.MS.Duration	1	DOCS SIGNING		FALSE	FALSE	MILESTONE DURATION - DOCS SIGNING
Log.MS.Duration	1	FUNDING		FALSE	FALSE	MILESTONE DURATION - FUNDING
Log.MS.Duration	1	PROCESSING		FALSE	FALSE	MILESTONE DURATION - PROCESSING
Log.MS.Duration	1	STARTED		FALSE	FALSE	MILESTONE DURATION - STARTED
Log.MS.Duration	1	SUBMITTAL		FALSE	FALSE	MILESTONE DURATION - SUBMITTAL
Log.MS.Stage	1		64	FALSE	FALSE	NEXT EXPECTED MILESTONE
LOID	1		16	FALSE	TRUE	LO ID
MORNET.X67	1		64	TRUE	FALSE	FANNIE MAE LOAN DOC TYPE CODE
MS.APP	1			FALSE	FALSE	APPROVED MILESTONE DATE
MS.APP.DUE	1			FALSE	FALSE	APPROVED MILESTONE DUE DATE
MS.CLO	1			FALSE	FALSE	COMPLETED MILESTONE DATE
MS.CLO.DUE	1			FALSE	FALSE	COMPLETED MILESTONE DUE DATE
MS.DOC	1			FALSE	FALSE	DOC SIGNED MILESTONE DATE
MS.DOC.DUE	1			FALSE	FALSE	DOC SIGNED MILESTONE DUE DATE
MS.FUN	1			FALSE	FALSE	FUNDED MILESTONE DATE
MS.FUN.DUE	1			FALSE	FALSE	FUNDED MILESTONE DUE DATE
MS.LOANDURATION	1			FALSE	FALSE	LOAN DURATION - FILE STARTED TO COMPLETION
MS.LOCKDAYS	1			FALSE	FALSE	DAYS TO EXPIRE
MS.PROC	1			FALSE	FALSE	PROCESSED MILESTONE DATE
MS.START	1			FALSE	FALSE	FILE STARTED MILESTONE DATE
MS.STATUS	1		64	FALSE	FALSE	LAST FINISHED MILESTONE
MS.STATUSDATE	1			FALSE	FALSE	LAST FINISHED MILESTONE DATE
MS.SUB	1			FALSE	FALSE	SUBMITTED MILESTONE DATE
MS.SUB.DUE	1			FALSE	FALSE	SUBMITTED MILESTONE DUE DATE
NEWHUD.X1139	1		1	FALSE	FALSE	ITEMIZE FEES ON LINE 802 USE LO COMPENSATION TOOL
NEWHUD.X1142	1			FALSE	FALSE	LO COMPENSATION - LENDER COMPENSATION CREDIT AMOUNT LINE 1
NEWHUD.X1144	1			FALSE	FALSE	LO COMPENSATION - LENDER COMPENSATION CREDIT AMOUNT LINE 2
